"active_from","active_to","birth_date","college","height","name","position","url","weight","NBA__3ptapg","NBA__3ptpct","NBA__3ptpg","NBA_efgpct","NBA_fg.","NBA_fg_per_game","NBA_fga_per_game","NBA_ft.","NBA_ft_per_g","NBA_fta_p_g","NBA_g_played","NBA_ppg","NCAA__3ptapg","NCAA__3ptpct","NCAA__3ptpg","NCAA_efgpct","NCAA_fgapg","NCAA_fgpct","NCAA_fgpg","NCAA_ft","NCAA_ftapg","NCAA_ftpg","NCAA_games","NCAA_ppg","height.inches"
2006,2007,"November 18, 1983","North Carolina State University","6-7","Julius Hodge","G","/players/h/hodgeju01.html",210,0,NA,0,0.44,0.44,0.5,1.1,0.5,0.3,0.5,23,1.2,2.7,0.329,0.9,NA,10.9,0.473,5.2,0.76,6.1,4.6,129,15.8,79
2006,2006,"August 8, 1979","California State University, Fresno, San Diego State University","6-9","Randy Holcomb","F","/players/h/holcora01.html",225,0,NA,0,1,1,0.3,0.3,NA,0,0,4,0.5,1.3,0.315,0.4,NA,10.1,0.473,4.8,0.644,3.9,2.5,93,12.5,81
2010,2018,"June 12, 1990","University of California, Los Angeles","6-4","Jrue Holiday","G","/players/h/holidjr01.html",205,3.3,0.361,1.2,0.494,0.449,5.9,13.2,0.788,1.9,2.4,583,14.9,2.5,0.307,0.8,NA,7.1,0.45,3.2,0.726,1.8,1.3,35,8.5,76
2007,2016,"October 10, 1984","University of California, Los Angeles","7-0","Ryan Hollins","C","/players/h/holliry01.html",240,0,0,0,0.584,0.584,1.3,2.3,0.649,1,1.6,518,3.7,0,1,0,NA,3.5,0.575,2,0.591,2.9,1.7,113,5.7,84
2008,2018,"June 3, 1986","University of Florida","6-10","Al Horford","C-F","/players/h/horfoal01.html",245,1.1,0.372,0.4,0.543,0.525,6,11.4,0.75,1.8,2.4,717,14.2,0,0,0,NA,6.6,0.586,3.9,0.619,4.1,2.5,109,10.3,82
2010,2015,"August 7, 1984","University of Tennessee at Martin","6-3","Lester Hudson","G","/players/h/hudsole01.html",190,1.8,0.277,0.5,0.431,0.375,1.7,4.4,0.806,0.9,1.1,57,4.7,9.5,0.372,3.5,NA,20.4,0.456,9.3,0.858,5.2,4.4,65,26.6,75
2005,2017,"February 6, 1985","University of Minnesota","6-9","Kris Humphries","C-F","/players/h/humphkr01.html",235,0.2,0.293,0.1,0.469,0.463,2.6,5.6,0.7,1.4,2,800,6.7,1.7,0.34,0.6,NA,17.2,0.444,7.6,0.742,7.9,5.9,29,21.7,81
2010,2010,"July 7, 1984","University of Michigan","6-11","Chris Hunter","F","/players/h/huntech01.html",240,0.1,0,0,0.502,0.502,1.8,3.6,0.754,0.9,1.2,60,4.5,1,0.318,0.3,NA,5.1,0.464,2.4,0.749,2.5,1.9,105,7,83
2009,2010,"May 28, 1986","Ohio State University","6-8","Othello Hunter","F","/players/h/hunteot01.html",225,0,NA,0,0.469,0.469,0.7,1.4,0.333,0.1,0.4,23,1.4,0.2,0.308,0.1,NA,5.6,0.583,3.3,0.603,2,1.2,76,7.8,80
2005,2018,"January 28, 1984","University of Arizona","6-6","Andre Iguodala","G-F","/players/i/iguodan01.html",215,2.7,0.333,0.9,0.511,0.465,4.5,9.7,0.713,2.6,3.7,1040,12.6,1.9,0.274,0.5,NA,7.8,0.424,3.3,0.738,3.3,2.5,62,9.6,78
