"active_from","active_to","birth_date","college","height","name","position","url","weight","NBA__3ptapg","NBA__3ptpct","NBA__3ptpg","NBA_efgpct","NBA_fg.","NBA_fg_per_game","NBA_fga_per_game","NBA_ft.","NBA_ft_per_g","NBA_fta_p_g","NBA_g_played","NBA_ppg","NCAA__3ptapg","NCAA__3ptpct","NCAA__3ptpg","NCAA_efgpct","NCAA_fgapg","NCAA_fgpct","NCAA_fgpg","NCAA_ft","NCAA_ftapg","NCAA_ftpg","NCAA_games","NCAA_ppg","height.inches"
2006,2009,"September 25, 1984","University of North Carolina","6-4","Rashad McCants","G","/players/m/mccanra01.html",207,3.2,0.368,1.2,0.499,0.431,3.7,8.6,0.741,1.4,1.8,249,10,5.4,0.415,2.3,NA,12.9,0.486,6.3,0.721,3.8,2.8,98,17.6,76
2007,2007,"May 27, 1984","University of Maryland","6-5","Chris McCray","G","/players/m/mccrach01.html",192,0,NA,0,0,0,0,0.6,NA,0,0,5,0,3,0.33,1,NA,7.7,0.463,3.5,0.854,3.1,2.7,103,10.8,77
2007,2007,"April 26, 1982","Oklahoma State University","6-8","Ivan McFarlin","F","/players/m/mcfariv01.html",240,0.1,0,0,0.385,0.385,0.5,1.2,0.714,0.5,0.6,11,1.4,0,0.4,0,NA,7.9,0.584,4.6,0.668,3.5,2.3,132,11.6,80
2009,2018,"January 19, 1988","University of Nevada, Reno","7-0","JaVale McGee","C","/players/m/mcgeeja01.html",270,0,0.067,0,0.559,0.559,3.2,5.7,0.582,1.1,2,557,7.5,0.7,0.356,0.2,NA,6.5,0.542,3.5,0.514,2.7,1.4,66,8.7,84
2008,2013,"October 20, 1985","University of California, California State University, Fresno","6-9","Dominic McGuire","F","/players/m/mcguido01.html",220,0,0.188,0,0.42,0.419,1.1,2.7,0.658,0.5,0.7,342,2.7,1.1,0.253,0.3,NA,7.2,0.462,3.3,0.556,3.2,1.8,86,8.7,81
2008,2018,"February 28, 1987","Duke University","6-10","Josh McRoberts","F","/players/m/mcrobjo01.html",240,1.3,0.34,0.5,0.513,0.463,2.1,4.6,0.705,0.7,1,433,5.4,0.5,0.278,0.1,NA,7.5,0.54,4,0.664,3.8,2.5,69,10.8,82
2010,2018,"August 21, 1987","University of Kentucky","6-4","Jodie Meeks","G","/players/m/meeksjo01.html",210,3.9,0.372,1.4,0.516,0.418,3.1,7.4,0.88,1.7,1.9,530,9.3,5.7,0.386,2.2,NA,10.9,0.436,4.8,0.89,4.1,3.7,81,15.4,76
2006,2006,"April 13, 1983","University of Kansas","6-1","Aaron Miles","G","/players/m/milesaa01.html",175,0,NA,0,0.333,0.333,0.3,0.9,1,0.2,0.2,19,0.8,2.2,0.342,0.8,NA,6.9,0.415,2.9,0.755,2.7,2.1,138,8.6,73
2010,2018,"August 11, 1988","Saint Mary's College of California","6-0","Patty Mills","G","/players/m/millspa02.html",185,3.6,0.391,1.4,0.535,0.432,3,7,0.848,0.8,0.9,521,8.2,6.7,0.331,2.2,NA,13.4,0.415,5.6,0.806,3.7,3,58,16.4,72
2007,2018,"February 10, 1985","Louisiana Tech University","6-8","Paul Millsap","F","/players/m/millspa01.html",246,1.3,0.331,0.4,0.511,0.492,5.4,10.9,0.734,3.1,4.2,873,14.2,0.2,0.375,0.1,NA,12.4,0.577,7.2,0.62,6.8,4.2,92,18.6,80
2007,2010,"July 19, 1984","Gonzaga University","6-8","Adam Morrison","F","/players/m/morriad01.html",205,2.3,0.331,0.8,0.423,0.373,2.9,7.8,0.71,0.9,1.2,161,7.5,3.7,0.368,1.3,NA,14,0.503,7,0.761,5.5,4.2,95,19.7,80
2009,2017,"September 27, 1985","Georgia Institute of Technology","6-5","Anthony Morrow","G","/players/m/morroan01.html",210,3.4,0.417,1.4,0.539,0.447,3.5,7.8,0.88,1.1,1.2,564,9.4,5,0.421,2.1,NA,8.8,0.437,3.8,0.867,1.8,1.6,123,11.4,77
2010,2014,"February 14, 1989","Ohio State University","7-0","Byron Mullens","C","/players/m/mulleby01.html",275,1.8,0.319,0.6,0.448,0.408,2.9,7.2,0.706,0.9,1.3,189,7.4,0,0,0,NA,5.7,0.638,3.6,0.559,2.8,1.6,33,8.8,84
2009,2009,"November 2, 1985","Duke University","6-4","DeMarcus Nelson","G","/players/n/nelsode01.html",200,0.2,0,0,0.444,0.444,1.8,4.2,0.357,0.4,1.1,13,4.1,2.7,0.373,1,NA,8.2,0.466,3.8,0.586,3.7,2.1,124,10.8,76
2005,2018,"February 9, 1982","Saint Joseph's University","6-0","Jameer Nelson","G","/players/n/nelsoja01.html",190,3.6,0.368,1.3,0.502,0.436,4.3,9.9,0.81,1.4,1.7,878,11.3,5,0.365,1.8,NA,12.4,0.454,5.6,0.786,4.7,3.7,125,16.8,72
2008,2009,"September 4, 1984","Syracuse University","6-8","Demetris Nichols","F","/players/n/nichode01.html",216,0.8,0.2,0.2,0.328,0.281,0.5,1.8,0.5,0.1,0.1,18,1.2,4.7,0.358,1.7,NA,9,0.423,3.8,0.752,2.1,1.6,123,10.9,80
2008,2018,"February 25, 1985","University of Florida","6-11","Joakim Noah","C","/players/n/noahjo01.html",230,0,0,0,0.49,0.49,3.4,7,0.699,2.1,3,625,8.9,0,0.5,0,NA,6.2,0.616,3.8,0.684,4.2,2.9,108,10.5,83
2007,2007,"February 27, 1984","University of North Carolina","6-6","David Noel","F","/players/n/noelda01.html",230,0.8,0.321,0.3,0.415,0.367,1,2.6,0.86,0.5,0.6,68,2.7,1.4,0.354,0.5,NA,5.2,0.532,2.7,0.587,1.6,0.9,127,6.9,78
2007,2017,"June 13, 1983","Marquette University","6-10","Steve Novak","F","/players/n/novakst01.html",225,2.9,0.43,1.2,0.605,0.437,1.6,3.7,0.877,0.2,0.2,467,4.7,6.1,0.461,2.8,NA,8.4,0.456,3.8,0.931,2.1,1.9,126,12.4,82
2006,2008,"October 31, 1980","Indiana University, University of Houston","6-4","Andre Owens","G","/players/o/owensan01.html",200,1,0.375,0.4,0.428,0.37,1.2,3.4,0.712,0.7,1,54,3.6,6.2,0.34,2.1,NA,11.5,0.385,4.4,0.737,3.1,2.2,117,13.2,76
2006,2018,"May 6, 1985","Wake Forest University","6-0","Chris Paul","G","/players/p/paulch01.html",175,3.4,0.371,1.3,0.518,0.472,6.6,13.9,0.868,4.3,4.9,891,18.7,2.9,0.47,1.4,NA,9.3,0.472,4.4,0.838,5.8,4.9,63,15,72
2007,2007,"October 20, 1983","University of Nevada, Reno","6-10","Kevinn Pinkney","F","/players/p/pinknke01.html",245,0.3,0.5,0.2,0.463,0.444,2,4.5,0.667,1,1.5,6,5.2,0.2,0.185,0,NA,6.1,0.515,3.1,0.708,2.9,2,110,8.3,82
2007,2011,"January 22, 1984","University of California","6-8","Leon Powe","F","/players/p/powele01.html",240,0,0,0,0.515,0.515,2.1,4,0.682,2.1,3.1,239,6.2,0.2,0.3,0.1,NA,12,0.492,5.9,0.672,8.8,5.9,54,17.8,80
2006,2014,"January 25, 1983","North Carolina State University","6-9","Josh Powell","F","/players/p/poweljo01.html",225,0.1,0.35,0,0.441,0.438,1.6,3.6,0.743,0.7,0.9,316,3.9,0.6,0.289,0.2,NA,6.6,0.553,3.7,0.729,3,2.2,65,9.7,81
2008,2008,"March 18, 1981","Texas Tech University","6-7","Kasib Powell","F","/players/p/powelka01.html",215,3,0.242,0.7,0.411,0.368,3.2,8.6,0.667,0.5,0.8,11,7.6,0.7,0.217,0.1,NA,11.9,0.492,5.9,0.629,5.1,3.2,67,15.1,79
2007,2007,"January 15, 1983","University of Illinois at Urbana-Champaign","6-6","Roger Powell","F","/players/p/powelro01.html",235,0.3,0,0,0,0,0,1,1,0.7,0.7,3,0.7,0.9,0.398,0.4,NA,6.2,0.572,3.6,0.662,2.6,1.7,128,9.2,78
2010,2015,"October 7, 1986","University of Connecticut","6-2","A.J. Price","G","/players/p/priceaj01.html",181,2.6,0.316,0.8,0.456,0.38,2.1,5.5,0.742,0.8,1.1,261,5.8,4.4,0.365,1.6,NA,10.5,0.413,4.3,0.722,3.7,2.7,99,13,74
2006,2017,"June 21, 1983","Nicholls State University, Utah Valley State College","6-2","Ronnie Price","G","/players/p/pricero01.html",190,1.5,0.302,0.4,0.434,0.373,1.4,3.6,0.738,0.5,0.7,544,3.7,7,0.345,2.4,NA,14.7,0.417,6.1,0.788,4,3.1,114,17.8,74
2008,2009,"April 19, 1986","University of Southern California","6-4","Gabe Pruitt","G","/players/p/pruitga01.html",170,1,0.283,0.3,0.382,0.321,0.7,2.3,0.783,0.3,0.4,62,2,5.7,0.393,2.2,NA,10.2,0.438,4.5,0.778,3.3,2.6,80,13.8,76
2007,2013,"September 27, 1983","University of Notre Dame","6-2","Chris Quinn","G","/players/q/quinnch01.html",185,1.8,0.377,0.7,0.483,0.399,1.6,4,0.809,0.7,0.9,241,4.5,4.7,0.417,1.9,NA,8.9,0.446,4,0.825,2.3,1.9,123,11.8,74
2009,2014,"July 15, 1989","Louisiana State University","6-10","Anthony Randolph","F","/players/r/randoan01.html",205,0.3,0.241,0.1,0.46,0.453,2.7,5.9,0.74,1.6,2.2,252,7.1,0.6,0.105,0.1,NA,12.7,0.464,5.9,0.693,5.4,3.7,31,15.6,82
2006,2015,"November 24, 1983","Duke University","6-10","Shavlik Randolph","F","/players/r/randosh01.html",240,0,0.167,0,0.451,0.449,0.9,2,0.544,0.6,1,146,2.3,0.5,0.286,0.1,NA,4.4,0.506,2.2,0.64,2.7,1.7,92,6.3,82
2007,2007,"June 17, 1984","Villanova University","6-2","Allan Ray","G","/players/r/rayal01.html",190,2.5,0.414,1,0.479,0.386,2.1,5.5,0.764,0.9,1.2,47,6.2,6.5,0.367,2.4,NA,12.4,0.407,5.1,0.82,3.7,3.1,130,15.6,74
2007,2018,"June 24, 1984","Duke University","6-4","J.J. Redick","G","/players/r/redicjj01.html",190,4.6,0.415,1.9,0.552,0.449,4.2,9.3,0.89,2.1,2.4,759,12.4,8.1,0.406,3.3,NA,13.7,0.433,5.9,0.912,5.2,4.8,139,19.9,76
2005,2007,"January 16, 1982","University of Mississippi","6-8","Justin Reed","F","/players/r/reedju01.html",240,0,0,0,0.404,0.404,1.3,3.2,0.752,0.9,1.2,136,3.5,1.3,0.285,0.4,NA,11.7,0.476,5.6,0.707,4.4,3.1,122,14.6,80
2006,2009,"February 14, 1983","University of Florida","6-2","Anthony Roberson","G","/players/r/roberan02.html",180,2.2,0.356,0.8,0.502,0.4,1.6,3.9,0.9,0.1,0.2,65,4.1,7.2,0.402,2.9,NA,12.5,0.444,5.5,0.864,2.6,2.3,93,16.2,74
2006,2007,"October 20, 1982","Baylor University, Mississippi State University","6-9","Lawrence Roberts","F","/players/r/roberla01.html",240,0,0,0,0.452,0.452,1.3,2.9,0.688,1.2,1.8,87,3.8,1.7,0.302,0.5,NA,12.1,0.458,5.5,0.659,7.4,4.9,118,16.5,81
2005,2007,"December 26, 1980","University of Michigan","6-6","Bernard Robinson","G-F","/players/r/robinbe01.html",210,0.2,0.161,0,0.422,0.417,1.7,4,0.786,1.1,1.5,128,4.5,1.9,0.297,0.6,NA,10.4,0.44,4.6,0.814,3.4,2.8,120,12.5,78
2006,2016,"May 31, 1984","University of Washington","5-9","Nate Robinson","G","/players/r/robinna01.html",180,3.6,0.36,1.3,0.493,0.423,4,9.4,0.796,1.7,2.2,618,11,4.1,0.348,1.4,NA,11,0.457,5,0.793,3.7,3,89,14.4,69
2007,2018,"February 22, 1986","University of Kentucky","6-1","Rajon Rondo","G","/players/r/rondora01.html",186,1.2,0.308,0.4,0.482,0.463,4.4,9.5,0.605,1.3,2.2,777,10.4,1.5,0.283,0.4,NA,7.4,0.493,3.7,0.577,3.3,1.9,68,9.6,73
2009,2018,"October 4, 1988","University of Memphis","6-3","Derrick Rose","G","/players/r/rosede01.html",190,2.5,0.296,0.7,0.473,0.451,7.4,16.4,0.821,3.5,4.2,493,19,2.6,0.337,0.9,NA,10.9,0.477,5.2,0.712,5.1,3.7,40,14.9,75
2005,2011,"April 30, 1981","Southern Methodist University","6-6","Quinton Ross","G","/players/r/rossqu01.html",195,0.3,0.318,0.1,0.432,0.419,1.7,4,0.711,0.6,0.9,458,4.1,4.3,0.331,1.4,NA,10.8,0.446,4.8,0.756,4.9,3.7,119,14.8,78
2007,2013,"July 23, 1984","University of Washington","6-6","Brandon Roy","G","/players/r/roybr01.html",215,2.8,0.348,1,0.492,0.459,6.8,14.9,0.8,4.2,5.2,326,18.8,1.5,0.344,0.5,NA,10.1,0.512,5.2,0.765,4.5,3.5,103,14.3,78
2009,2017,"July 7, 1985","University of Kansas","6-6","Brandon Rush","G-F","/players/r/rushbr01.html",220,2.7,0.402,1.1,0.518,0.426,2.5,5.9,0.706,0.6,0.8,481,6.8,4.3,0.435,1.9,NA,10.9,0.449,4.9,0.733,2.5,1.8,109,13.6,78
2006,2006,"January 3, 1981","Seward County Community College, Oklahoma State University","6-5","Melvin Sanders","G-F","/players/s/sandeme01.html",210,0.2,0.667,0.1,0.515,0.485,1,2.1,0.7,0.4,0.6,16,2.6,3.9,0.345,1.3,NA,8.7,0.431,3.7,0.639,1.7,1.1,94,9.9,77
2006,2006,"July 3, 1978","University of Oregon","6-4","Alex Scales","G","/players/s/scaleal01.html",185,0,NA,0,NA,NA,0,0,NA,0,0,1,0,5.2,0.323,1.7,NA,12.9,0.429,5.5,0.758,3.3,2.5,62,15.3,76
2006,2007,"December 31, 1982","Georgia Institute of Technology","7-1","Luke Schenscher","C","/players/s/schenlu01.html",255,0,NA,0,0.469,0.469,0.7,1.6,0.45,0.3,0.6,31,1.8,0,0.4,0,NA,5.6,0.542,3,0.632,2.1,1.3,118,7.4,85
2008,2018,"April 11, 1986","University of Nevada, Reno","6-3","Ramon Sessions","G","/players/s/sessira01.html",190,1,0.316,0.3,0.453,0.434,3.5,8,0.791,3.1,3.9,690,10.3,0.8,0.313,0.3,NA,7.6,0.417,3.2,0.74,3,2.2,97,8.8,75
2009,2009,"July 18, 1986","Mississippi State University, University of Alabama at Birmingham","6-9","Walter Sharpe","F","/players/s/sharpwa01.html",245,0.3,0,0,0.364,0.364,0.5,1.4,0,0,0.3,8,1,0.1,0,0,NA,5.2,0.534,2.8,0.5,2.8,1.4,40,7,81
2006,2007,"March 9, 1983","University of Kansas","6-9","Wayne Simien","F","/players/s/simiewa01.html",255,0,NA,0,0.469,0.469,1.3,2.8,0.854,0.7,0.8,51,3.3,0.2,0.24,0.1,NA,9.9,0.558,5.5,0.784,5,3.9,106,15,81
2007,2009,"January 3, 1986","North Carolina State University","6-9","Cedric Simmons","F","/players/s/simmoce01.html",235,0,NA,0,0.409,0.409,0.9,2.3,0.39,0.3,0.8,75,2.2,0.1,0.5,0,NA,4.8,0.565,2.7,0.652,3.5,2.3,63,7.7,81
2008,2009,"October 21, 1983","University of Michigan","6-10","Courtney Sims","C","/players/s/simsco01.html",245,0,NA,0,0.429,0.429,0.6,1.4,NA,0,0,5,1.2,0.1,0.154,0,NA,6.5,0.586,3.8,0.687,3.4,2.3,133,10,82
2009,2009,"September 6, 1985","University of Virginia","6-0","Sean Singletary","G","/players/s/singlse01.html",185,0.7,0.4,0.3,0.424,0.365,0.8,2.3,0.857,0.5,0.6,37,2.4,5,0.362,1.8,NA,12.9,0.406,5.2,0.846,5.5,4.7,123,16.9,72
2006,2012,"July 20, 1981","Murray State University","6-8","James Singleton","F","/players/s/singlja01.html",216,0.5,0.292,0.1,0.485,0.462,1.5,3.2,0.833,0.8,1,243,3.9,0.7,0.429,0.3,NA,8.8,0.567,5,0.794,4.1,3.3,60,13.5,80
2007,2012,"November 10, 1983","Boston College","6-7","Craig Smith","F","/players/s/smithcr01.html",250,0.1,0.037,0,0.553,0.553,3,5.5,0.661,1.6,2.4,403,7.6,0.5,0.239,0.1,NA,12.7,0.558,7.1,0.643,5.9,3.8,130,18.1,79
2008,2018,"March 2, 1986","Colorado State University","7-0","Jason Smith","C-F","/players/s/smithja02.html",245,0.4,0.332,0.1,0.481,0.47,2.6,5.5,0.781,0.9,1.2,595,6.2,0.3,0.308,0.1,NA,9.6,0.548,5.2,0.751,5.5,4.1,87,14.7,84
2007,2007,"April 12, 1983","La Salle University","6-8","Steven Smith","F","/players/s/smithst03.html",235,0,NA,0,0.25,0.25,0.3,1,0.5,0.1,0.3,8,0.6,3.3,0.326,1.1,NA,14.3,0.463,6.6,0.794,4.9,3.9,107,18.1,80
2005,2008,"June 5, 1983","University of Nevada, Reno","6-6","Kirk Snyder","G","/players/s/snydeki01.html",225,1.3,0.327,0.4,0.479,0.438,2.3,5.3,0.699,1.2,1.8,211,6.3,4.1,0.31,1.3,NA,13.3,0.426,5.7,0.677,6,4.1,84,16.7,78
2005,2007,"November 22, 1981","California State University, Fullerton","6-10","Pape Sow","F","/players/s/sowpa01.html",250,0,NA,0,0.416,0.416,1,2.5,0.678,0.8,1.2,76,2.9,0.9,0.294,0.3,NA,11.3,0.468,5.3,0.667,7.3,4.9,72,15.8,82
2005,2008,"April 18, 1977","University of Illinois at Urbana-Champaign, Arizona State University","6-6","Awvee Storey","G-F","/players/s/storeaw01.html",222,0.3,0.25,0.1,0.429,0.414,1,2.3,0.511,0.4,0.8,60,2.4,0.1,0.2,0,NA,8.1,0.459,3.7,0.613,2.5,1.5,102,9,78
2006,2008,"October 11, 1982","University of Arizona","6-1","Salim Stoudamire","G","/players/s/stoudsa01.html",179,2.9,0.366,1.1,0.483,0.407,2.8,7,0.882,1.3,1.5,157,8,5.8,0.458,2.7,NA,10.1,0.471,4.8,0.87,3.5,3,129,15.2,73
2008,2008,"June 15, 1985","University of Maryland","6-5","D.J. Strawberry","G","/players/s/strawdj01.html",201,0.8,0.24,0.2,0.348,0.315,0.9,2.8,0.474,0.3,0.6,33,2.2,1.9,0.33,0.6,NA,7.8,0.461,3.6,0.64,3.7,2.3,111,10.1,77
2008,2017,"April 21, 1986","Eastern Washington University","6-5","Rodney Stuckey","G","/players/s/stuckro01.html",210,1.4,0.3,0.4,0.443,0.423,4.5,10.6,0.824,3.2,3.9,651,12.6,5.2,0.317,1.7,NA,17.1,0.472,8.1,0.806,8.1,6.5,59,24.4,77
2010,2013,"January 24, 1988","Georgetown University","6-8","DaJuan Summers","F","/players/s/summeda01.html",230,1,0.367,0.3,0.438,0.384,1.2,3.2,0.642,0.5,0.8,83,3.3,4.1,0.353,1.4,NA,8.3,0.439,3.6,0.727,3.4,2.5,101,11.2,80
2010,2011,"December 8, 1986","University of Central Florida","6-4","Jermaine Taylor","G","/players/t/tayloje02.html",210,1,0.284,0.3,0.471,0.441,2.1,4.8,0.73,0.8,1.1,65,5.4,5.5,0.376,2.1,NA,12.5,0.466,5.8,0.764,3.3,2.5,122,16.2,76
2009,2009,"January 21, 1986","Iowa State University","6-2","Mike Taylor","G","/players/t/taylomi01.html",165,0.8,0.325,0.3,0.436,0.412,2.2,5.2,0.691,1.1,1.6,51,5.7,6.9,0.36,2.5,NA,14.2,0.376,5.3,0.682,4.2,2.8,31,16,74
2010,2018,"June 10, 1988","Wake Forest University","6-2","Jeff Teague","G","/players/t/teaguje01.html",186,2.5,0.356,0.9,0.49,0.447,4.5,10.1,0.844,2.8,3.3,668,12.7,3,0.421,1.3,NA,11.2,0.462,5.2,0.812,5.9,4.8,61,16.4,74
2010,2018,"May 8, 1986","Louisiana State University","6-6","Garrett Temple","G","/players/t/templga01.html",195,2.2,0.357,0.8,0.486,0.405,2,4.9,0.725,0.8,1.1,439,5.5,3,0.278,0.8,NA,5.9,0.371,2.2,0.783,1.9,1.5,134,6.7,78
2005,2008,"December 23, 1975","University of Kansas","6-4","Billy Thomas","G","/players/t/thomabi01.html",208,1.9,0.304,0.6,0.44,0.338,1,2.8,0.846,0.2,0.2,53,2.7,5,0.389,2,NA,7,0.427,3,0.722,0.7,0.5,137,8.4,76
2007,2015,"August 17, 1986","Louisiana State University","6-9","Tyrus Thomas","F","/players/t/thomaty01.html",215,0.1,0.235,0,0.439,0.438,2.9,6.5,0.732,2,2.7,402,7.7,0,1,0,NA,7.8,0.608,4.8,0.657,4.3,2.8,32,12.3,81
2006,2007,"February 23, 1983","University of California, Los Angeles","6-7","Dijon Thompson","G-F","/players/t/thompdi01.html",195,0.8,0.308,0.3,0.475,0.425,1.1,2.5,0.875,0.4,0.5,16,2.8,3.1,0.362,1.1,NA,10,0.464,4.6,0.781,2.7,2.1,117,12.5,79
2009,2016,"July 21, 1986","Rider University","6-11","Jason Thompson","C-F","/players/t/thompja02.html",250,0.1,0.143,0,0.497,0.496,3.6,7.2,0.657,1.7,2.5,588,8.9,0.8,0.291,0.2,NA,11.8,0.526,6.2,0.667,6,4,122,16.7,83
2008,2011,"December 7, 1983","Florida State University","6-8","Al Thornton","F","/players/t/thornal01.html",220,0.9,0.293,0.3,0.465,0.452,4.6,10.2,0.747,2.4,3.2,296,11.9,1.2,0.438,0.5,NA,8.3,0.528,4.4,0.701,4.2,3,124,12.3,80
2010,2017,"June 5, 1987","Louisiana State University","6-4","Marcus Thornton","G","/players/t/thornma01.html",205,4.2,0.358,1.5,0.498,0.425,4.4,10.4,0.83,1.6,1.9,483,11.9,6.7,0.382,2.5,NA,15.6,0.455,7.1,0.771,4.8,3.7,66,20.4,76
2009,2018,"June 1, 1985","Creighton University","6-8","Anthony Tolliver","C-F","/players/t/tollian01.html",240,3.2,0.375,1.2,0.539,0.421,2.2,5.1,0.771,1,1.3,597,6.5,0.5,0.333,0.2,NA,5.8,0.491,2.9,0.671,3.3,2.2,124,8.1,80
2008,2010,"February 11, 1984","University of Wisconsin","6-6","Alando Tucker","F","/players/t/tuckeal02.html",205,0.7,0.294,0.2,0.451,0.423,1.5,3.6,0.783,0.9,1.2,51,4.1,2.5,0.307,0.8,NA,12.4,0.48,6,0.636,6.1,3.9,134,16.5,78
2007,2018,"May 5, 1985","University of Texas at Austin","6-6","P.J. Tucker","F","/players/t/tuckepj01.html",245,2.4,0.357,0.9,0.496,0.427,2.7,6.4,0.748,1.1,1.5,498,7.4,0,0.5,0,NA,9.6,0.526,5,0.711,4.7,3.3,87,13.4,78
2006,2015,"January 13, 1983","Gonzaga University","6-10","Ronny Turiaf","F","/players/t/turiaro01.html",249,0,0,0,0.533,0.533,1.8,3.4,0.636,1.1,1.7,473,4.7,0.1,0.222,0,NA,8.2,0.518,4.2,0.715,7.1,5.1,127,13.6,82
2006,2016,"August 24, 1984","University of Connecticut","6-11","Charlie Villanueva","F","/players/v/villach01.html",232,3.2,0.341,1.1,0.494,0.435,4,9.3,0.772,1.2,1.6,656,10.4,1,0.393,0.4,NA,8.3,0.518,4.3,0.681,3.2,2.2,63,11.2,83
2005,2006,"June 6, 1981","Iowa State University","6-10","Jackson Vroman","C-F","/players/v/vromaja01.html",220,0,0,0,0.408,0.408,1.2,3,0.58,0.8,1.4,87,3.3,0.2,0.077,0,NA,9.7,0.558,5.4,0.512,4.7,2.4,63,13.2,82
2006,2012,"July 21, 1985","Florida State University","6-5","Von Wafer","G","/players/w/wafervo01.html",210,1.6,0.325,0.5,0.475,0.42,2,4.6,0.751,0.9,1.1,200,5.3,4.9,0.365,1.8,NA,8.7,0.405,3.5,0.669,1.9,1.3,61,10.1,77
2009,2015,"October 9, 1987","Kansas State University","6-6","Henry Walker","F","/players/w/walkebi01.html",220,2.8,0.369,1,0.556,0.446,2.1,4.8,0.76,0.6,0.9,181,6,3.3,0.285,0.9,NA,12.3,0.456,5.6,0.727,4.4,3.2,37,15.3,78
2006,2006,"December 2, 1982","University of Florida","6-6","Matt Walsh","G-F","/players/w/walshma01.html",205,0,NA,0,1,1,0.5,0.5,0,0,1,2,1,5.3,0.398,2.1,NA,9.7,0.454,4.4,0.796,4.1,3.2,92,14.1,78
2006,2013,"July 8, 1982","Syracuse University","6-9","Hakim Warrick","F","/players/w/warriha01.html",219,0.2,0.191,0,0.493,0.49,3.4,6.9,0.726,2.6,3.6,526,9.4,0.3,0.25,0.1,NA,10.6,0.536,5.7,0.659,5.9,3.9,135,15.4,81
2008,2008,"December 6, 1985","University of Memphis","6-2","Darius Washington","G","/players/w/washida01.html",195,0.7,0.333,0.2,0.479,0.438,1.2,2.7,0.538,0.4,0.7,18,2.9,3.4,0.376,1.3,NA,10.7,0.442,4.7,0.754,4.9,3.7,73,14.4,74
2008,2017,"April 17, 1984","University of Tennessee","6-2","C.J. Watson","G","/players/w/watsocj01.html",175,2.1,0.373,0.8,0.484,0.419,2.5,6,0.812,1.4,1.7,600,7.2,3.5,0.396,1.4,NA,8.4,0.432,3.6,0.777,4.3,3.4,119,12,74
2009,2011,"February 18, 1986","Washington State University","6-6","Kyle Weaver","G","/players/w/weaveky01.html",201,1.6,0.353,0.6,0.51,0.441,1.8,4.2,0.736,0.7,1,73,5,1.3,0.277,0.4,NA,7.2,0.464,3.3,0.716,3.6,2.6,121,9.6,78
2009,2016,"July 8, 1986","University of Arkansas","6-6","Sonny Weems","G-F","/players/w/weemsso01.html",205,0.7,0.283,0.2,0.48,0.465,2.8,6,0.702,0.7,1,183,6.5,3.7,0.366,1.3,NA,11,0.473,5.2,0.767,2.1,1.6,69,13.3,78
2005,2012,"July 26, 1983","Saint Joseph's University","6-4","Delonte West","G","/players/w/westde01.html",180,2.3,0.372,0.9,0.501,0.448,3.7,8.3,0.826,1.4,1.7,432,9.7,3.4,0.377,1.3,NA,10.3,0.489,5.1,0.831,3,2.5,89,13.9,76
2008,2011,"June 19, 1984","Georgia Institute of Technology","6-5","Mario West","G","/players/w/westma02.html",210,0.1,0.2,0,0.456,0.448,0.3,0.8,0.563,0.2,0.4,162,1,0.5,0.288,0.1,NA,2.4,0.47,1.1,0.678,1.2,0.8,103,3.2,77
2009,2018,"November 12, 1988","University of California, Los Angeles","6-3","Russell Westbrook","G","/players/w/westbru01.html",200,3.5,0.311,1.1,0.464,0.435,8,18.4,0.814,5.9,7.2,746,23,1.3,0.354,0.5,NA,6.6,0.464,3.1,0.685,2.4,1.7,75,8.3,75
2009,2014,"August 31, 1986","Indiana University","6-9","D.J. White","F","/players/w/whitedj01.html",251,0,0.333,0,0.507,0.507,2.5,5,0.72,0.8,1.1,138,5.9,0,0.333,0,NA,9.8,0.562,5.5,0.69,5.1,3.5,99,14.6,81
2007,2013,"October 21, 1982","University of Florida, University of Cincinnati","6-7","James White","G-F","/players/w/whiteja02.html",200,0.7,0.34,0.3,0.491,0.438,1.1,2.4,0.676,0.3,0.5,67,2.7,2.9,0.336,1,NA,7.8,0.444,3.5,0.784,3,2.4,123,10.3,79
2005,2018,"January 11, 1980","North Carolina State University, University of Georgia","6-6","Damien Wilkins","G-F","/players/w/wilkida02.html",225,1.1,0.327,0.4,0.458,0.426,2.3,5.4,0.783,1.2,1.6,582,6.2,2.3,0.305,0.7,NA,8.8,0.408,3.6,0.725,4.2,3.1,117,10.9,78
2006,2017,"June 26, 1984","University of Illinois at Urbana-Champaign","6-3","Deron Williams","G","/players/w/willide01.html",200,3.9,0.357,1.4,0.498,0.445,5.8,13,0.822,3.4,4.1,845,16.3,4.3,0.374,1.6,NA,9.4,0.422,4,0.685,2.1,1.5,101,11,75
2009,2011,"February 19, 1983","University of North Carolina","6-9","Jawad Williams","F","/players/w/willija04.html",218,1.6,0.313,0.5,0.435,0.369,1.4,3.8,0.719,0.5,0.6,90,3.8,2.8,0.349,1,NA,9.5,0.487,4.6,0.724,3.5,2.5,128,12.7,81
2007,2008,"May 12, 1984","University of Wyoming","6-10","Justin Williams","F","/players/w/williju01.html",225,0,0,0,0.573,0.573,1.4,2.4,0.348,0.6,1.8,49,3.4,0,0,0,NA,7,0.538,3.8,0.574,4.4,2.5,58,10.1,82
